Text,Parsed
GOOG trade this one long verse 10sma  ,"[['GOOG', 'ORG'], ['one', 'CARDINAL'], ['10sma', 'CARDINAL']]"
"FNF - ong  19.43. Trailing Stop  21.04 from 6 prior Stops of 19.71, 19.52, 18.70, 18.65, 18.07 and 17.87 -  ","[['FNF', 'ORG'], ['19.43', 'CARDINAL'], ['21.04', 'CARDINAL'], ['6', 'CARDINAL'], ['19.71', 'CARDINAL'], ['19.52', 'CARDINAL'], ['18.70', 'CARDINAL'], ['18.65', 'CARDINAL'], ['18.07', 'CARDINAL'], ['17.87', 'CARDINAL']]"
"FOD should see a solid move up tom, system predict nice green candle.",[]
This is the year of fitness and health apps...the winners will be gynormous and the speculation will run high  nke,"[['the year', 'DATE'], ['nke', 'ORG']]"
It's time to invest in MSFT COMPQ   ,"[['COMPQ', 'ORG']]"
"New Post: Shorts Will Make Dimes, ongs Will Make Dollars  AAP SPX QQQ P","[['New Post', 'ORG']]"
nbelieveable payment trend that VC's are chasing has easily played out in public markets.... EBAY V and Mastercard MA all time highs,"[['VC', 'ORG'], ['EBAY V', 'ORG'], ['Mastercard MA', 'ORG']]"
Some of the watch list stocks that triggered today OEX AGNX TV VBD XIDE PPC EXP  ONTY  BMN FS WK CHMT FBC  ISI AIG,"[['today', 'DATE'], ['AGNX', 'ORG'], ['VBD XIDE', 'PERSON'], ['BMN FS WK CHMT FBC', 'ORG'], ['ISI AIG', 'ORG']]"
Nice Bull flag breakout here OC #technology #software  ,"[['Nice Bull', 'ORG']]"
My setup alerts went bonkers today..One of many that got triggered.Cup+Handle breakout in PFE   ,"[['today', 'DATE'], ['One', 'CARDINAL'], ['PFE', 'ORG']]"
The host with the most....congrats to the cloud today AX and user more all-time highs.  wow,"[['congrats', 'PERSON'], ['today', 'DATE'], ['AX', 'ORG']]"
X Did .S. Steel Just Breakout?  MT too,"[['MT', 'ORG']]"
DNDN has broken through the clear 5.5 resistanc level on heavy volume & could be headed much higher  ,"[['DNDN', 'ORG'], ['5.5', 'CARDINAL']]"
EXPE looks good for higher prices  ,[]
apc weekly setting up long.  ,"[['apc', 'ORG'], ['weekly', 'DATE']]"
I am going into this morning long 3 each AAP 560 call options & GOOG 725 calls Jan 4th expiration,"[['this morning long 3', 'TIME'], ['AAP', 'ORG'], ['560', 'CARDINAL'], ['Jan 4th', 'DATE']]"
ES_F path higher unthreatened unless 1452.25 support fails. See resistance at 1466.00 SPX #stocks.  ,"[['1452.25', 'CARDINAL'], ['1466.00', 'CARDINAL'], ['SPX #', 'ORG']]"
Monitor the S line/price dynamic. Stocks that closed Dec.28 with the S line in new highs be4 price. MHO TSM IPGP EQIX BC BDC ASH,"[['BDC ASH', 'ORG']]"
DDD IDCC continue higher,"[['DDD IDCC', 'ORG']]"
"Had hoped to pick up some OST today, but looks like I'm a day too late. Nice move up this morning.","[['today', 'DATE'], ['this morning', 'TIME']]"
GPS wow that wa s a fast fast fade...,"[['wa s', 'GPE']]"
AMZN going above 260. Should go near 300 if market behaves for a few weeks.,"[['AMZN', 'ORG'], ['260', 'CARDINAL'], ['300', 'CARDINAL'], ['a few weeks', 'DATE']]"
Huston we have a GEEN AAP,"[['Huston', 'PERSON'], ['GEEN', 'ORG']]"
P long 9.55,"[['9.55', 'CARDINAL']]"
HN breakout...but 3rd day up so look for pullback to enter long.  ,"[['3rd day', 'DATE']]"
NG - ascend triangle much like FS & X breakouts 127 exten then 161.8 targets - fibs subjective  ,"[['NG', 'ORG'], ['FS & X', 'ORG'], ['127', 'CARDINAL'], ['161.8', 'CARDINAL']]"
KCG ... things that make you go hmmmm?  ,"[['KCG', 'ORG']]"
VNG - Huge  news from patent attorney Dan avicher  ,"[['Dan avicher  ', 'PERSON']]"
NG nhod - check the weekly - target previous lows 2006 :),"[['NG', 'ORG'], ['weekly', 'DATE'], ['2006', 'DATE']]"
NG nhod - what do you see? check the weekly - target previous lows 2006 :)   ,"[['NG', 'ORG'], ['weekly', 'DATE'], ['2006', 'DATE']]"
AIG American International Group Option Traders bet on 4% down move by next Friday  ,"[['AIG American International Group Option Traders', 'ORG'], ['4%', 'PERCENT'], ['next Friday', 'DATE']]"
P out balance +.32,[]
VNG buys vs. Sells?,"[['VNG', 'ORG'], ['Sells', 'ORG']]"
BAC In  12.00 since there is consolidation  this level. We could close = > 12.09 if market is stable in pm IMHO.,"[['12.00', 'CARDINAL'], ['12.09', 'CARDINAL'], ['pm', 'TIME'], ['IMHO', 'PERSON']]"
VNG Parabolic moves are a comin',"[['VNG Parabolic', 'ORG']]"
New Sony pre-owned block tech patent unearthed SNE ... 50% of GME profits from pre owned ..last one out turn off the lights,"[['Sony', 'ORG'], ['50%', 'PERCENT'], ['GME', 'ORG'], ['one', 'CARDINAL']]"
"we liked VS, we love WYNN from 111 entry to new up target yesterday at 121. very nice !   ","[['VS', 'PRODUCT'], ['111', 'CARDINAL'], ['yesterday', 'DATE'], ['121', 'CARDINAL']]"
user: SPX 1464.90 Wave iv would be 20 points lower [1467.00 KEY] ES_F HOD 1460.00 (under neckline 1458.50 very bearish) ,"[['1464.90', 'CARDINAL'], ['20', 'CARDINAL'], ['1467.00', 'CARDINAL'], ['1460.00', 'CARDINAL'], ['1458.50', 'CARDINAL']]"
"DDD consolidating the strong move from previous days between 55 and 60, next buy point above 60 on volume (holding).","[['DDD', 'ORG'], ['previous days', 'DATE'], ['between 55 and 60', 'DATE'], ['60', 'CARDINAL']]"
VNG - 12 mil shares shorts plus long buying = massive VNG short squeeze. Just when you thought story was dead avicher kills short thesis,"[['12 mil', 'CARDINAL'], ['VNG', 'ORG']]"
"Wow, not good for BKS T user ... sales for the Nook were down 13% over the holidays  ","[['BKS', 'ORG'], ['Nook', 'ORG'], ['13%', 'PERCENT']]"
AC from watch list - volume did pick up and is now 139% of full day average -from 200-day bounce   ,"[['AC', 'ORG'], ['139%', 'PERCENT'], ['full day', 'DATE'], ['200-day', 'DATE']]"
"The new wightwatchers ads are more fun and light and with regular people more interesting, but I still dont trust them WTW (no position)","[['wightwatchers', 'WORK_OF_ART']]"
AMZN holding up well - next buy point when clears this upper trend line on heavy volume  ,"[['AMZN', 'ORG']]"
MA exactly what you want to see a follow thru day after breaking out to new highs on volume  ,"[['day', 'DATE']]"
ZCS user There's your buying,"[['ZCS', 'ORG']]"
AAP SPY no more QE for 2013. Now bring the Geithner.,"[['QE', 'ORG'], ['2013', 'DATE'], ['Geithner', 'PERSON']]"
Over extended stock market + unexpected news from the FED minutes = Down ESD & a panicky ES_F NQ_F.,"[['FED', 'ORG'], ['Down ESD &', 'ORG']]"
"SPY ncle Ben needed to spice up things a little. AAP people were bored, wake up now.","[['Ben', 'PERSON']]"
AAP might close at the lows of the day. Bears will be in control again below the descending trendline. Watch it.,"[['AAP', 'ORG'], ['the day', 'DATE']]"
FAN - seeking 200d. Im adding some synthetic shorts here and will add again at 200d.,"[['FAN', 'ORG'], ['200d', 'CARDINAL'], ['200d', 'CARDINAL']]"
"CWST low of day 4.50, near high of day 4.56, watchn for b/out, minimal risk","[['day 4.50', 'DATE'], ['day 4.56', 'DATE']]"
All of the above: gme Gamestop short targets  spy,[]
time to get out of the #cloud stocks VMW CM,"[['VMW', 'ORG']]"
BAC Keep Overniight mmy pos. will bin premarket Tmorrow too.,"[['Tmorrow', 'ORG']]"
Polk Expects 2013 .S. New Vehicle egistrations to each 15.3 Million - Polk -  F GM I think this is low,"[['Polk', 'PERSON'], ['2013', 'DATE'], ['15.3 Million', 'CARDINAL'], ['F GM', 'ORG']]"
Very bullish on market  also talked trends for SCTY OST ANGI FIO  PANW A JCP P YEP MNST GPN on show.,"[['JCP', 'ORG'], ['GPN', 'PERSON']]"
BAC what happens next?  ,[]
KCG someone bought 3.22k 4 Jan 18 Calls....,"[['KCG', 'ORG'], ['3.22k 4 Jan 18', 'DATE']]"
Man I didnt know about Skippy when I made this...would have thrown in a jar H #Hormel  ,"[['Hormel', 'ORG']]"
"Big move in bonds today, 7 months high for 10 y rate, still going lower here ZN_F, could get truly ugly if good NFP number in AM SPY TT","[['today', 'DATE'], ['7 months', 'DATE'], ['10', 'CARDINAL'], ['ZN_F', 'PERSON'], ['NFP', 'ORG'], ['SPY TT', 'PERSON']]"
Market Wrap Video + Additions to Watch ist  including: BCEI BJI CEE ES SONS SQNM NX YEP,"[['BCEI BJI CEE ES', 'ORG']]"
Maybe when vrng asked the judge for a 7% royalty it became too risky for goog to deal with?  they want to settle,"[['7%', 'PERCENT']]"
BJI Over 35.53 if good volume  ,"[['BJI', 'ORG'], ['35.53', 'CARDINAL']]"
CEE Over 35.12  ,"[['CEE', 'ORG'], ['35.12', 'CARDINAL']]"
SQNM  Over 5.05  ,"[['Over 5.05', 'CARDINAL']]"
NX On flag break  ,[]
3D Systems Brings Next-Gen Consumer 3D Printing to CES 2013  DDD,"[['Next-Gen Consumer 3D Printing', 'ORG'], ['CES 2013', 'DATE'], ['DDD', 'ORG']]"
AAP will top out in April when Aston Kutcher stars in 'jOBS'.  Kinda like how Facebook did when 'Social Network' came out. FB,"[['AAP', 'ORG'], ['April', 'DATE'], ['Aston Kutcher', 'PERSON'], ['Facebook', 'ORG'], [""Social Network'"", 'ORG']]"
"VNG w/ MACD turning up & above its signal line, VNG could post a nice rally from current levels  ","[['VNG', 'ORG']]"
PI 3Q 10Q operational cash flow for 9mos -20million. 269%decline vs. 9mos year ago.,"[['9mos', 'PERSON'], ['269%decline', 'CARDINAL'], ['9mos year ago', 'DATE']]"
bbby 3Q 10Q Operational Cash Flow 135 million. 53 increase vs. year ago Q3. 64% improvement q o q,"[['3Q', 'CARDINAL'], ['135 million', 'CARDINAL'], ['53', 'CARDINAL'], ['year ago', 'DATE'], ['64%', 'PERCENT']]"
DI 6mos operational cash flow 267 million. increases 187 million vs.6mos year ago. 233% increase,"[['DI 6mos', 'ORG'], ['267 million', 'CARDINAL'], ['187 million', 'CARDINAL'], ['vs.6mos year ago', 'DATE'], ['233%', 'PERCENT']]"
AM 3Q 10Q 9mos operational cash flow 32 million vs. neg 26 mil 9mos year ago.,"[['32 million', 'CARDINAL'], ['26 mil', 'QUANTITY'], ['9mos year ago', 'DATE']]"
am 3Q operational cash flow neg 16 million.  vs. year ago 3Q of negative 68million.  52 million improvement,"[['3Q', 'CARDINAL'], ['16 million', 'CARDINAL'], ['year ago 3Q', 'DATE'], ['68million', 'DATE'], ['52 million', 'CARDINAL']]"
"A quiet Carl Icahn = Bullish.  NFX shorts should be paranoid on every close as they will get acquired.  Think aapl, msft, amzn, fb","[['Carl Icahn', 'PERSON'], ['NFX', 'PERSON']]"
I am an aapl bull but cannot break this trend line in OBV   ,"[['OBV', 'EVENT']]"
user Phantom7 I've been calling +4 ever since the start of this thing. 3.75 should be a given~ KCG,"[['3.75', 'CARDINAL'], ['KCG', 'ORG']]"
NX on watch list above small flag on volume of 26% of ave full day so good volume  ,"[['26%', 'PERCENT'], ['full day', 'DATE']]"
GOOG poised to clear this next resistance (buy / add area) watch action / volume closely here   ,"[['GOOG', 'ORG']]"
GDP on watch list slightly over line and 50-day EMA light volume of 5% ave full day   ,"[['50-day', 'DATE'], ['EMA', 'ORG'], ['5%', 'PERCENT'], ['full day', 'DATE']]"
"Took some profits off DDD, will add if breaks 60 on volume.","[['DDD', 'ORG'], ['60', 'CARDINAL']]"
CHK - what I'm looking at - small risk position calls only. Scalp - maybe a swing XE watch.   ,"[['XE', 'ORG']]"
"ONTY If the holders would just hold out or raise their ask here, this could really pop. Going to climb slowly regardless...",[]
EOG PXD OAS #energyswag,"[['EOG PXD OAS', 'ORG'], ['energyswag', 'PERSON']]"
AAP moving down with volume. Couldnt cope with the descending trend line. Trend is still down. Perhaps 460 is not impossible after all.,"[['AAP', 'ORG'], ['460', 'FAC']]"
AAP 50EMA continue to work as AAP is making lower highs in the MACO sense   ,"[['AAP 50EMA', 'ORG'], ['AAP', 'ORG']]"
"Went short SPY yesterday, should have picked AAP instead. Still think market needs to move down a bit then resume move to the upside.","[['yesterday', 'DATE'], ['AAP', 'ORG']]"
AAP people be realistic. Market undecided what to do with apple. Earnings will lift that cloud. If GOOD we might EAY see a reversal.,"[['AAP', 'ORG'], ['EAY', 'ORG']]"
Will watch the close carefully then decide whether to ONG or SHOT AAP. Below 530 SHOT!!!,"[['ONG', 'ORG'], ['SHOT AAP', 'ORG'], ['530', 'CARDINAL']]"
"JCP Keep an eye on this triangle. big short int, 34%. reports Feb 27. cup & handle. at DT. ong  ","[['JCP', 'ORG'], ['34%', 'PERCENT'], ['Feb 27', 'DATE'], ['DT', 'ORG'], ['ong', 'ORG']]"
sold a little goog ...first time in a while,"[['first', 'ORDINAL']]"
Nice cup with handle breakout on MCA,"[['MCA', 'ORG']]"
FAF new highs.,"[['FAF', 'ORG']]"
SPY giving AAP the finger. We don't care about you anymore lol,"[['AAP', 'ORG']]"
The Smith&Corona doing ok. AMZN,"[['Smith&Corona', 'EVENT'], ['AMZN', 'ORG']]"
"VA - ong  43.07. Trailing Stop  58.98 from 11 Stops of 54.53, 52.45, 48.05, 47.32, 46.71, ... 41.32 & 39.57 -  ","[['VA', 'GPE'], ['43.07', 'CARDINAL'], ['58.98', 'CARDINAL'], ['11', 'CARDINAL'], ['54.53', 'CARDINAL'], ['52.45', 'CARDINAL'], ['48.05', 'CARDINAL'], ['47.32', 'CARDINAL'], ['46.71', 'CARDINAL'], ['41.32', 'CARDINAL'], ['39.57', 'CARDINAL']]"
AMZN alert update: a last minute push tried to shake out puts. we're hanging on for now.  ,"[['AMZN', 'ORG'], ['last minute', 'TIME']]"
AAP volume higher today than monday. Keep that in mind.,"[['AAP', 'ORG'], ['today than monday', 'DATE']]"
"HB.A - ong  73.67. Trailing Stop  71.92 from 3 prior Stops of 70.86, 68.64 and 62.41 -  ","[['71.92', 'CARDINAL'], ['3', 'CARDINAL'], ['70.86', 'CARDINAL'], ['68.64', 'CARDINAL'], ['62.41 -  ', 'MONEY']]"
"The key is not to panic here.  AAP is in the domain of twitchy day traders on robots now, but long term should hold up on fundamentals","[['AAP', 'ORG']]"
NVDA 4 hour - love to see the vol explode.   ,"[['NVDA', 'ORG'], ['4 hour', 'TIME']]"
VNG - Take a hard look at GOOG FTC settlement over patents.  FTC making GOOG play nice with VNG?  Makes Sense  ,"[['GOOG FTC', 'ORG'], ['FTC', 'ORG'], ['GOOG', 'ORG'], ['VNG', 'ORG']]"
some worried I had gone OCO with my 737.71 up call for GOOG ! now at door step of nearly 40 move  ,"[['OCO', 'ORG'], ['GOOG', 'LOC'], ['nearly 40', 'CARDINAL']]"
VNG its crazy that anyone listens and trades off this tool.,[]
GOOG  is getting fueled by AAP's reversal.,"[['GOOG', 'ORG'], ['AAP', 'ORG']]"
user why make a BBY offer now when he can shave 4 more off offer price? Bid went from 24-26 to just 20 in a matter of months.,"[['BBY', 'ORG'], ['4', 'CARDINAL'], ['24-26', 'CARDINAL'], ['a matter of months', 'DATE']]"
NVDA - to answer your question entry (add) was the red candle at 10:50AM today. ove flags  ,"[['NVDA', 'ORG'], ['10:50AM', 'DATE'], ['today', 'DATE']]"
"AAP 950 lot bid in the Feb 580 call at 9.50, might push the stock up or create support. 26 delta option","[['950', 'CARDINAL'], ['Feb 580', 'DATE'], ['9.50', 'CARDINAL'], ['26', 'CARDINAL']]"
"WPI - was on our short candidate list 12/31 and we missed it, got started short today","[['12/31', 'DATE'], ['today', 'DATE']]"
MYE breaking out,[]
Short HT under the 200 SMA stop just over the high of the day. First target 53.95. Second target 53.21 gap fill.,"[['200', 'CARDINAL'], ['the high of the day', 'DATE'], ['First', 'ORDINAL'], ['53.95', 'CARDINAL'], ['Second', 'ORDINAL'], ['53.21', 'CARDINAL']]"
QCOM introduces StreamBoost:  average home connects up to seven devices to the Internet,"[['QCOM introduces StreamBoost', 'ORG'], ['up to seven', 'CARDINAL']]"
NVDA love to see momo this next week like previous histogram bars noted.   ,"[['NVDA', 'ORG'], ['this next week', 'DATE']]"
HMA unusual option activity. Trader buys 11k of the Jan 9 Put. Short term bear play,"[['11k', 'CARDINAL'], ['the Jan 9 Put', 'DATE']]"
"ADBE option trader buys 5,300 of the Feb 39C against OI of 741. Bet is on stock above 39 by Feb 16th","[['5,300', 'CARDINAL'], ['741', 'CARDINAL'], ['39', 'CARDINAL'], ['Feb 16th', 'DATE']]"
"NVDA ooks bullish but it must stay above 13.05 on a closing basis (monthly), EPS say no?  ","[['NVDA', 'ORG'], ['ooks', 'PERSON'], ['13.05', 'CARDINAL'], ['monthly', 'DATE'], ['EPS', 'ORG']]"
SQNM from watch list over line on volume of 86% of ave full day  ,"[['86%', 'PERCENT']]"
HOTT Failed breakout?  ,[]
ZN_F ticking up.. I'd be a seller of SDJPY here (*if I weren't already)...,"[['ZN_F', 'PERSON'], ['SDJPY', 'ORDINAL']]"
"INO Wow, nice accumulation today, heavy...","[['today', 'DATE']]"
ZNGA Fat juicy Short back to lower levels as it closes Gap  2.72?  ,"[['ZNGA Fat', 'PERSON'], ['Gap', 'ORG'], ['2.72', 'CARDINAL']]"
GDOT nice bounce from its 50SMA. ooks ready to test the recent highs  ,"[['50SMA', 'CARDINAL'], ['ooks', 'ORG']]"
HMA ooking for 10's; headed higher!  ,"[['10', 'CARDINAL']]"
"SPF ooking for 9's, headed higher with lower rates.  ","[['9', 'CARDINAL']]"
"GS JPM XF HOD, they are hungry for stocks out there... SPY","[['GS JPM XF HOD', 'ORG']]"
CHK weekly bullish engulfing   ,"[['CHK', 'ORG'], ['weekly', 'DATE']]"
GS looks good heading into next week.,"[['GS', 'ORG'], ['next week', 'DATE']]"
AAP all i know is ipad minis are out of stock everywhere. been going to 8 different stores and none of them have em in stock,"[['AAP', 'ORG'], ['ipad', 'ORG'], ['8', 'CARDINAL']]"
As goog explodes and aapl implodes MINTE 21 to 23 of user vid from a few years ago have Mark nailing the subject  ,"[['MINTE 21 to', 'ORG'], ['23', 'CARDINAL'], ['a few years ago', 'DATE'], ['Mark', 'PERSON']]"
"KKD Krispy Kreme Doughnuts, Inc. at IC XChange Conference (ive) 01/17/13 at 9:15 a.m. ET","[['KKD Krispy Kreme Doughnuts, Inc.', 'ORG'], ['IC XChange Conference', 'ORG'], ['01/17/13', 'CARDINAL'], ['9:15 a.m.', 'TIME']]"
Picked up FS on pullback due to downgrade. Held support to close week. First PT 37.30  ,"[['FS', 'ORG'], ['First PT', 'ORG'], ['37.30', 'CARDINAL']]"
"user: I've been picking this one for a while, but I'm calling KKD as the next food company to make a DPZ like run in TWENTY13.","[['DPZ', 'ORG']]"
"ZNGA Still shows red and dead on a enko view, PF Box size 0.25  ","[['enko', 'PERSON'], ['0.25', 'CARDINAL']]"
