Text,Target,Predicted
"Goldman Sachs tells investors to go defensive amid share market slump, pick large-caps to beat virus
#sensex… https://t.co/QCVjebyKle",1,1
CIEN still a good short if it goes under 17.11 and stays there.,1,1
Come on CAT do the Harlem Shake.,1,1
"AMZN VOME is a go, big boys grabbing some stocks. Higher prices to come.",0,0
AMK a nice short below 3.99  ,1,1
"Glencore, Teck, First Quantum and other miners, find some mines under siege by protesters accusing them of bringingâ€¦ https://t.co/cS7tPLPgc6",1,0
"G full year 2012 revs +50%, EPS +72% vs 2011.",0,0
JCP is anyone else listening to this? eal smart use pension plan as collateral to take on more debt with no core improvements.,1,1
"Adding COH Coach to short term portfolio, extremely oversold and good fundamentals. Superior sales growth, margins, OE. elatively low P/E",0,1
"Multi-day downswing in ES_F favored, see demand zone at 1442.00-1423.75 SPX SPY #stocks.   ",1,1
ove GNW!! 9-13 Calls are making me feel better about myself for not dumping AAP sooner!,0,0
"As long as it doesn't cross the 21.58 Fibonacci evel, the short is valid. INTC",1,1
RT @minzengwsj: WSJ: Boeing is expected to begin offering early retirement and buyout packages to its workforce as the plane maker comes toâ€¦,0,0
"With the mess that Twitter andThe Grammy's made of Hashtags #sting (are you kidding me), excited for GOOG to just step in and print  off #",0,0
NKD stormed back in week #2 with a 4.29% gain after being the dog in week #1 #13for2013   ,0,0
"Air Deccan Ceases Operations, All Employees On ''Sabbatical Without Pay''
https://t.co/4GVDLoOJ97",1,1
AAP -   percolating? Perhaps a push above 500 soon...,1,1
DDD worked with 3d design software today. click on a layered part of object  in 3d graphic and 3d printer creates it. Amazing stuff.,0,0
"Green Weekly Triangle on JB,.....Scaling p on ong Position  ",0,0
been talking about  low priuced stocks flying- FCE buy was Tuesday  - 30% gain way overbought now  ,0,0
GOOG IGV #Google #Software firing on all 3 cylinders compq NDX  ,0,0
user That IFE is going to turn like that TPX just did - if TPX continues red - similar pattern,1,0
JCP good short under 16.75.,1,1
PO is perking up again. Very strong specialty chemicals' stock,0,0
ZNGA Put/CAll ratio 0.18,0,0
AXTI eleased news. Watching if this can go into 3s today  ,0,0
Heard on the Street: Social distancing has been good for Samsung so far. But its prospects depend on the global ecoâ€¦ https://t.co/yfEXvfksXR,0,0
"Coronavirus Has 'Drastically Altered' India Growth Outlook, Says RBI Amid Lockdown
https://t.co/WYWkoIzUKf",1,1
CHE (home healthcare svs) at new all-time highs on heave volume  ,0,0
KEX the break of the 8.49 secondary price was your obvious signal...,1,1
CSOD  Expands Presence in Public Sector to Drive Continued Momentum  ,0,0
ATHN wants the hundred-dolla-roll.,0,0
SCHW -core long holding up well - possible falling wedge?  not sure but adding some back 17.65 area  ,0,0
"AAP - Bearish News at the Bottom, Or The Start of a New Downleg?  ",1,0
MSFT gap close. Continues base. SI rising. Nice : pickup w/ stop below major support & 28.22 PT.  ,0,0
Short HT under the 200 SMA stop just over the high of the day. First target 53.95. Second target 53.21 gap fill.,1,1
AAP lets see if we say goodbye to 500 today.,1,1
"Government May Slash Borrowing From Market In April Amid Lockdown: Report
https://t.co/3nN6Jqelh8",1,1
"Short list monday, AZK CENX  DAKT EMK  IO MVG QTY SNSS STK TAS VOCS",1,0
CTIC looking to scale back into a long Monday hoping for sub 1.30 stock,0,0
"MTG Major resistance at 2.80 which is Fib level and 20 day MA. if you are long, good luck.  ",1,1
"user benrab no position ever, no payment ever, just trying to explain the fraud that is likely zagg. Deny it at you're own risk.",1,1
"Sensex, Nifty Trim Losses As Markets Resume Trading After 45-Minute Halt
https://t.co/R98oX7Bd5U",1,1
"SK Great day today. Breakout on huge volume. ots of shorts, congrats to members who joined in!  ",0,0
DE outside bbands - I have to believe this pulls in a bit.   ,1,1
CF if we open green here tomorrow we should see test to 40 looking to be setting up again.,0,0
"Indian Stocks Crash To Worst Day Since 2008 As Pandemic Fuels Growth Fears
https://t.co/IUUaVqggRI",1,1
RT @AndrewScurria: 1st large oil-and-gas bankruptcy stemming from coronavirus/Saudi-Russia price war. Whiting Petroleum files for chapter 1â€¦,1,0
DDD IDCC continue higher,0,0
"HTZ great move to new highs out of that triangle, very strong  ",0,0
TSO Keep this small Cup with Handle on your watch list. Breakout watch over 60 on volume.  ,0,0
Come on MTG do the Harlem Shake.,1,1
"JPM 4 of last 8 days saw distribution, may yet test 50dma, but little damage done longer-term  ",0,1
RT @estherfung: Some Landlords Say Only 25% of Retail Tenants Paid April Rent https://t.co/1JuE0xG1AH via @WSJ,0,0
The gap fill at 53.47 for DDD is certain. This is where ride the profits thesis gets tested.,1,0
user - never buy on day 3 of more than 10% move. Good advice for the conservative.  XCO,0,0
#ContrAlert Don't Panic: Wall Street Is Going Crazy For Student oans -- But It's Not a #Bubble -  SM,1,1
user: FIO fugly,1,0
AMTD TD Ameritrade two massive blocks of upside calls over past week.  ,0,0
Some #insurance stocks at all time highs! AON AS TV WB Weeeeee SPX SPY  ,0,0
Market Wrap Video + Additions to Watch ist  including: BCEI BJI CEE ES SONS SQNM NX YEP,0,0
"As the coronavirus pandemic intensifies, adherents of the Financial Independence, Retire Early movement are doublinâ€¦ https://t.co/klzYRO889R",1,1
Exclusive: A top Occidental Petroleum executive has been forced out of the company as it deals with the repercussioâ€¦ https://t.co/1YFkN3FoQg,1,1
"etail drill-down raises questions - XY, XT, TH  -  SPX, SPY, M, GPS",1,1
Watchlist for today TTNP SNTA IMM FM OEX DCTH,0,0
AAP Cover my Short B4 Conference !,1,1
AYI Q1 Operational Cash Flow turns Negative,1,0
DK Over 34.75 for a continuation  ,0,0
VNG - taking an overnight position for few days 3.30 - looks prime - someone accumulating some here - for something,0,0
AAP a classic move to 435 testing on no cause. Webinar followers I've added to short position  ,1,1
GAE something going on long 1.84 -1.85 1.86,0,0
MAKO Nice Cup and Handle pattern...Stock worth 20 IMO...  ,0,0
AAP No kidding Terranova!,1,0
AAP Dump by  Einhorn in progress 40% Done Be patient....,1,1
"PPO: 2) GM estimates 20% Y/Y unit growth for volt (36K). great headline, but PPO built capacity for 60K+. this is bad for margins. (2/4)",1,1
AMZN clearing this rising trend line / support off 5 minute looking to add to short position   ,1,1
Pre-Market Winners: SI FAS DB TOT HTZ ASM EX TNA E NKD,0,0
"Sensex, Nifty Extend Losses To Second Straight Day
https://t.co/fvhJCJDiV5",1,1
CF  #cliff the Head & Shoulder still thinks it's right!  ,1,1
CNQ nice start but needs better vol,0,0
"Fitch Sees India GDP Growth In FY21 At 2%, Slowest Since Economic Reforms
https://t.co/nH9RGCKb8s",1,1
ZNGA entire body is about 200 day moving average today for the first time!!!!!!!!!!!!,0,1
ACHC I might be crazy but this stock is rising. ow volume however.Price matters first.,0,0
"JDS beautiful trend, 13.5 should bring out the dip buyers",0,0
AFFY 30 minute shift - Still long partials from yesterday 2.90 level,0,0
SHD - Appearance of a 180 Bullish Cup and Handle. Someone has put on a SPD.  ,0,0
" ES SPY, S Part three final update..hedge and define risk ...  ",1,1
BSX Weekly: 10 & 200 meeting  ,0,0
AAP moving above 525 pivot today is bullish for tomorrow.,0,0
TAB user alexcampbello This is what the street sees and hence lower she goes  ,1,1
Trouble for homebuilders in recent data...  XHB TO PHM DHI,1,1
Market Wrap Video + Additions to Watch ist  including: AEG DI IPX NG MY ONTY QIH ST XXIA,0,0
AAP Daylight savings has screwed up the European close.. still 1/2 hour to go,0,0
"Don't look now, but INT is clearing all-time highs. 10th time is the charm",0,0
GOOG setting up for another push higher. Still within a larger 3rd wave...with (v) of 3 to come...  ,0,0
TSO - I see this one mentioned on the Matrix a lot today. I see why. Nice flag and 20 ema bounce  ,0,0
AAP --  mac world maybe TC will anounce the i-time-machine... boom we are all rich again!,0,0
is this a potential h&s on  with neckline 65ish?  ,1,1
BBY Headed back to 5 on over saturated Cell Phone Market - That GOOG will own as next mobile Microsoft OS.,1,0
Market Wrap Video + Additions to Watch ist  including: BYD INFN JNP SE TGH HS,0,0
CEN is setting up near 52-week highs  ,0,0
"NVDA ooks bullish but it must stay above 13.05 on a closing basis (monthly), EPS say no?  ",1,0
BTO AMZN Feb 16 210 puts for 1. olling the dice!,1,1
"Citing improved money-market conditions, the bank said it would soon ease back on operations designed to add short-â€¦ https://t.co/GACHU03nOM",0,0
"Green Monthly Triangle on ISIS,....Scaling Down  ",1,1
"India's Services Activity Hits 5-Month Low Amid Coronavirus Crisis: Survey
https://t.co/Urv0Rj5eyv",1,1
AAP Apple's stock is 36% lower than its September high.  ,1,1
INT #1 on SMB adar weak today,1,1
"Heard on the Street: Norwegian Air could succeed in its last-ditch effort to survive the coronavirus crisis, but wiâ€¦ https://t.co/mURLpUzK46",0,0
AAP ow risk with a tight stop here however would like to see this one get some follow through (today) to better confirm.,0,0
SSQ pulling back as suspected. uckily sold near 11.20 res (tweeted). Watching 10.80 to get bck in  ,0,0
"me too.  yay user: So AAP didn't gap up this morning toward ST upside target (480), but I will take a sudden reversal.",0,0
"DEPO sell short 6.43 scaling, next level 6.27",1,1
Added bear call spread in STJ at Apr20 43/45 level for potential 12% gain.,1,1
AMZN short working nicely  watch for a break and run of 262,1,0
China Shanghai Composite Breaks Key Supprt FXI BID NTES SINA SOH YOK YZC XME JOY CAT X  ,0,0
"Will Not Sell Any Share In Yes Bank For Next 3 Years, Says SBI Chairman
https://t.co/X9JRhxWCrV",0,1
FS is in a big rising channel w its top at 39 & bottom at 28.Momentum indicators turning up again  ,0,0
COG rolling over here...  think it will lose most of this move today.,1,1
Could this false breakout on BAC take us down to 11 ?   ,1,1
"BIG With a strong SI & an improving OBV, I have a feeling that it will break higher shortly.   ",0,0
ACX No negatives here.  Just an algo bringing it down.  Here's a chance to get stock cheap. BBH XV,0,0
HBAN breakout today  ,0,0
user: TJX TJX. Fresh All Time High & plenty of support nearby.  ,0,0
A European fund imposes a levy on shareholders trying to exit the fund https://t.co/ipARaR7IO2,1,0
BAC Here is the entry for the long IMO ot of Volume + over 11.65 !!!,0,0
AAP GS says higher div likely .. more value investors? Why no stock split instead?  ,0,1
"RBI Surpassed Market Expectations: Experts On Surprise 0.75% Rate Cut
https://t.co/3gfU6trdg1",1,0
"BWD, stepping in short. I do not see the necessary volume to take this past 86.5. Set tight stops  ",1,1
opening momo watchlist: ATS DN KOG ZAZA ANA TSX SPT HAO MH GAE,0,0
"Industrial Output Rises 2% In January
https://t.co/rmUQUI1HPd",0,0
My hot money canary DDD and SSYS reversing lower...,1,1
MTG between yesterdays session and today's PM almost the entire float has been traded lol,1,1
"NIS over 2,60 will run hard. ONG  ",0,0
Time for a contraction in AAP.down to test 500 this week by Weds.long Jan11th 510/500 put spread  ,1,0
Watch DECK over 49.20.,0,0
BlackRockâ€™s first-quarter profit fell 23% https://t.co/YLdaUS5Rbx,1,0
AAP China news will Catch Fire this weekend just watch!,1,1
not likin MSFT neg dvrgnce+hammer today goin into quadruple bottom. Still have some longs w/ stop  ,1,0
OS stock very close to magic number 7 and holding see stabilization over 7.00 it will retest 7.50 break point - really like this one,0,0
"DECK all on deck as the shorts scramble to cover - pop, pop boom!! uckly they don't wear ggs in Cyprus",0,0
VHC still looking interesting.Trading within an ascending triangle pattern w resistance at 36.25  ,0,0
ooks like Cliffs is falling off a cliff right now. Geronimo!!!! CF,1,1
AAP How an Internet-trained Apple analyst lost tens of millions of other peoples' money  ,1,1
"Green Weekly Triangle on HEO,....pdating  ",1,1
"GM, DA and TSA shorts all did well today in an up market.  Tell's me these were good choices to short.",1,1
user: user AAP didn't rally 10 in 10 minutes just because it hit a buy target sorry Oh why did it then?,0,1
"ed Weekly Triangle on CTIC,....Net Profit  675.00 (3.88%),...gly waiting more than 3 months  ",1,1
"PAY is on the run, short covering in action, now waiting for small down to enter...I'm always late!",0,1
"GMX took some off 3.75, 3.90 next tgt",0,0
AMZN FB your pick for higher prices this week. Both breaking out with considerable volume.,0,0
"My call for the week AA, WFC, APO, MON",0,1
"Consumer Inflation Likely Fell To Four-Month Low In March: Poll
https://t.co/VEzKWZInDZ",1,1
adding to short on WYNN,1,1
HD - patience always pays off. Broke out to new highs   ,0,0
HSNI has missed the expectations: 4Q2012 EPS diluted is 1 vs 1.04 consensus vs 1.06 whisper,1,0
added APP,0,0
BAC Indtitutional buy  11.30 large Block,0,0
Ford will perform well due to Hurricane Sandy's destruction. F Palladium will do well PA Banks are a buy picks are BAC C SAN GS,0,0
user You're Wrong I was long BAC till Yesterday. I think you are falling in love with Stock instead of making  ;-),1,1
"GOOG short, moving slower than I expected, covered a little more here around 807.50, 809.20 stop now",1,1
AXTI Momentum picking up w/ MACD climbing/SI rising.OBV indicator made a new higher high this week  ,0,0
"Congress has offered to delay the implementation of new loan-accounting rules for U.S. banks, but banks have good râ€¦ https://t.co/6mKibJZ6d0",1,1
"Consumer inflation eases to 5.91% in March, lowest in 4 months",0,1
long some MENT I like the Cup and Handle pattern. Earnings aren't till late Feb.  ,0,0
CEG possible ONG today if you want to play the JPMOGAN BIOtech conference.,0,0
AAP appears to be dragging down QQQ and SPY #stockaction,1,1
ENOC good start like it over 17,0,0
DECK short 38.10 bear flag working,1,1
user: NG long setup   ,0,0
New Sony pre-owned block tech patent unearthed SNE ... 50% of GME profits from pre owned ..last one out turn off the lights,1,0
KO made with sugar is sold at local COST. Consumers prefer that in CA.  user-Cola should make shift nationwide. I'm bullish SB_F SPY,0,0
Property Bets Lose Curb Appeal in the Age of Coronavirus https://t.co/Tm7wZjfBJf,1,1
SPY Dismal volume today. It appears everyone's waiting for AAP to release earnings before they take a position.,1,0
"QCOM looking good here for a long, yesterday's close as stop",0,0
PAN went hard in the paint this week. TSA on a comback too. I put my allowance money there.,0,0
CSPI buying in new nano cap folio.,0,0
BAC WFC in the hole finally.,1,1
CAI 4.94 will be the bitch slap.and tank.,1,1
NFX looking good so far on hourly. ooking for it to pull in to the 20 ema hrly at 170 maybe more  ,1,1
Today's Watchlist for ONG Stocks: TIBX; HN; SNFCA; ECT; BBY; NIHD  #stocks #trading,0,0
AAP has come so far that the gap fill at 425 fits the Eiffel tower analogy. Need 2 search Eiffel on my site if  don't know what it is?,1,0
MSG - beautiful to see all these highs  ,0,0
GOOG and AMZN calls are on my watch list for a day trade.  Taking a break from AAP,0,0
"V still taking a breather, still above first support, good place to add  ",0,0
"Coronavirus Crisis: Fitch Lowers 2020-21 India Growth Forecast To 5.1%
https://t.co/EvQBt1DCZ8",1,1
"Many companies are looking to suspend, delay or shrink their contributions to employeesâ€™ 401(k) accounts to conservâ€¦ https://t.co/9HMd1DpFvF",1,0
DDD dipping in long here - oversold on split adn earnings confusion,0,0
CAT FED going to buy Tractors too??? I don't think so! Should be down 4-5% today imo!,1,1
OWE STOP in FMD to 5.26 20ma.,1,0
AAP what is the value in 450 share? other than keeping it a plaything of the ultra rich (and those of us who like to play in their pool?),0,1
BCN Higher volume often indicates reversal points.Technicals/saying the stock is about to take off  ,0,0
"V is now one of my longest growth stock holdings, ever (19 months and counting)...",0,0
user On any significant Vol over 11.30 in BAC it's a good Entry IMHO.,0,0
good end of day volume coming into DECK and MAKO,0,0
CSOD long idea  ,0,0
GMX BINGO!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,1
"SWHC still holding all my shares bought at 7.69. Have June10 Calls that are playing well too. Sold my MA9s yesterday, too soon.",0,0
ABT Bullish /T Setup - Breaking from a 14 year base:  ,0,0
APO Q1 2013 operational cash flow 210 million. a 90million decline vs. 2012 Q1.  30% decline,1,1
A ot of New Additions to the Short Watch-ist | EBAY AIA BBVA at the top of the list  ,1,1
"VTX option trader buys 3,700 put spreads in April 48 and 42 strikes. Could be big bet on down move or stock hedge",1,1
AAP Support at 442ish and then gap fill below.   ,1,1
BAC In a 11.97 for a trade,0,0
FEIC is approaching new all-time highs,0,0
"Admittedly more a commentary on digital media than just Yahoo, but here why YHOO is set to crash and burn from here.  ",1,0
 PCN doulble top at key fib retracement weekly....time to exit ...,1,1
KS looks ugly to me. A close below 106 and its headed below 100.,1,1
"CEG ooking to Add to, soon.",0,1
Heard on the Street: Microsoft uses both intimidation and imitation against Zoom https://t.co/8R24awIr5H,1,0
"SD this is the ammo to help fire Tom Ward, was needed imho... unfortunately once again at the shareholders expense. NG SO",0,0
"GMC really like how this one continues to hold up so well, volume on the up days  ",0,0
V - watching this channel closely.  Already at 11% vol. Slightly above average.   ,0,0
"APA good short and risk reward. As long as it stays under 75.50, it will be great.",1,1
KBH tried short on Friday 18.25 tested 18 then came back 18.25 then 18.55 when comes back 18.33 I'll short attempt #2 break 18 target 16.50,1,0
user  I think the same aapl. Iphone lost the wow factor.,1,1
NTI turned away by 50ema  ,1,0
"A quiet Carl Icahn = Bullish.  NFX shorts should be paranoid on every close as they will get acquired.  Think aapl, msft, amzn, fb",0,1
NVDA not working so far still holding though.,0,1
Covered 1/3  45.90 DKS.,1,1
NG bearish action today looking like a top as nat gas jumps.,1,1
FAF looks good. Pivot range 24.87 to 26.11  Volume +76% today. See if close and/or get over days highs at 25.60.,0,0
NS Perfect day for a reversal candle on the dailies.,1,1
MSFT Breaking out of solid consolidation and accumulation. I've outlined 3 areas of strength in Microsoft  ,0,0
AMZN remember holding 269.5 is very important for break out continuation. Watch it. I'm long and will add on break of yesterdays high.,0,0
"Sensex Ends 173 Points Lower, Nifty Settles At 8,749 As Coronavirus Fears Linger
https://t.co/QGIFjWEwyH",1,1
GMC 37 next target on Bailing VOME in next week.,1,1
MAS from watch list broke out of flag today- now also at top line on volume of 11% of full day ave  ,0,0
"user: my year tgt is 270 next year 60 That is funny because unless AAP raises their div, their cash balance will be 200B 2014",0,1
GOOG stock will never see 820 again wouldn't be suprised if every insider sold here above 800 - wouldn't you - oh my thats alot ,1,0
"RT @djtgallagher: WFH was going to be a very short-lived boost for PC sales, but even that didn't happen. Now,  a major recession ahead wilâ€¦",1,1
"Mall and shopping-center owners are compiling a blacklist of large, usually financially stable tenants that havenâ€™tâ€¦ https://t.co/qgBnOqRKdg",1,0
MHP MCO SPX SPY #CNBC  reports that Justice is seeking 5B+ from S&P for mortgage ratings in civil case/no criminal charges to date.,1,1
user u didn't miss it if it is still going lower :) MCP,1,0
"Rupee Edges Higher To 75.51 Against Dollar
https://t.co/W88Y89rySY",1,1
BAC wait for it to setup again. ooks like it will retest 10.66 for sure.,1,1
S is approaching the breakout price of 6,0,0
MHK > I meant to say TD Buy Setup nderway?,1,0
NVDA MACD indicating that the current short term price trend is bullish.Breakout watch over 12.85  ,0,0
SK G SKHEADS,0,0
Song for AAP bulls  ,1,0
Why These 4 Biotechs Could Be Next In ine To See Their Share Prices ise  AMBS.OB CHTP MACK PPHM,0,1
"ssys website investor relation page uses morningstar stats to quote mkt cap. MON Statistics are wrong. there r more shares out, way more",1,1
"FAF new highs, still holding. Needs volume here.",0,0
Pre-Market osers: DDD DDS DEO DST PSO VXX FXY GSK IO NGG,1,0
GEVO broke out of its 50-day SMA and surged considerably higher amidst impressive buying pressure  ,0,0
"  We explain in the Jan 24th aapl video how not to be gaffed by the operators,...fish hooks...aapl might be great co , but broken sto",1,0
"SoftBank To Raise $41 Billion To Expand Share Buyback, Cut Debt
https://t.co/zOM9uhrFZz",0,1
AMK a bear flag to keep an eye on for anyone interested in a short  ,1,1
GPO on watch list at the line with volume of 75% of average full day   ,0,0
"BAC Big Boy, Buy Big Block under... on 2 ;-)",0,0
"OABC - ong  16.55. Trailing Stop  23.59 from 10 prior Stops of 23.08, 22.80, 21.16, 20.18, ... 16.74, 15.90 & 15.25  ",0,0
GOOG lookin good,0,0
"AAP sending a reminder to NOK,",1,1
"DEXO has this inverse h+s, bounced off fib, -longer term W bottom..",0,0
GOOG looks heavy but volume is drying. eal selling pressure comes with above average volume.,1,1
"user The day of the MA IPO I tripled my position at 42 (IPO priced at 39) never touched it since, probably my best stock move ever...",0,0
FIE - Decending Triangle w/ possible bear flag last week. Open gap at 36.38.   ,1,1
Will short 300 shares of PXD at the open for a #BearishBuck.,1,1
Holding up nicely in a weak tape. Someone is buying today. I think AXTI might see 3.2 to 3.4 this month IMO the buyback plan worth 6M,0,0
BAC New High Of Day :),0,0
RBI will continue to be vigilant and take steps necessary to mitigate impact of coronavirus: Governor Shaktikanta Das,0,0
EXH from watch list just over line on volume of 13% of average full day   ,0,0
"Sensex, Nifty End Volatile Session On A Flat Note
https://t.co/bCXcTD72dd",1,1
"NFX Netflix, Inc. (NFX) Increased Debt Causes Concern [EPOT]  ",1,1
"Vistara Calls For Mandatory Leave Without Pay For 3 Days For Senior Employees
https://t.co/EWaWzu721b",1,1
"Some math HHC sold 206 condo units in 29 hours in Hawaii in Dec. Avg 1100 sqft, avg 1,500 sqft/condo (1.65M /unit) (own 25% of project)",0,0
"user: AX looks good for higher prices, gapped above base and held, updated 30 min view:  ",0,0
"The cannabis sector must stay short of cash, but not too short, for property company IIP to maintain its edge durinâ€¦ https://t.co/BQKvuhBJIX",0,1
CAT grabbed some otto 82.50 puts! Could be a breakdown! .02 - .04!,1,1
CSOD Blue Sky Breakout today:  ,0,0
"Financial Markets Shut For Mahavir Jayanti Holiday
https://t.co/nMf0ueLc9e",1,1
SBX breaking down from ascending channel. 54.57 gap close  ,1,1
HES the latest target of increasing energy-focused activist investing. Investors can cash in. OXY  ,0,0
"Green Weekly Triangle on MH,....Sell Short at 4.06  ",1,1
GS Conviction Buy Stocks With the Most pside: AAP  ,0,0
RT @JamesGlynnWSJ: Glynnâ€™s Take: Scope Now for Optimism in Australia #auspol #ausbiz #ausecon   https://t.co/aiQFiSFGL1,0,0
user: AAP  down .6% premarket . Anyone know where the bottom is ZEO? if it does not stop before that I 'm buying it !,0,1
"OAS, perfect opportunity to the buy the dip on this name. NG higher",0,0
"I will swing WFC, ATI, and FCX Short.",1,1
"Saudi Arabia has delayed pricing its crude for May delivery, a cease-fire in a price war that has contributed to aâ€¦ https://t.co/MXR4xmIlYK",1,0
Added bear call spread in STJ at Apr20 43/45 level for potential 12% gain.,1,1
V is looking better for a swing trade long as it bases at highs  ,0,0
AFFY iftoff Short squeeze?,0,1
user: AAP anyone making bets on samesung ? # no ecosystem they have 80 phones talk about canibalization,0,0
looking for JCP to finish ystdy's move into 22.50....#shortterm,0,0
user: DDD split today and stock is down 12+% in  33.25 its cheap with growth expectations at this point IMO nice to dip your toe,0,0
Video Analysis of our 16% 3 day trade by shorting AMZN  ,1,0
"Officials expect another surge as applications processed for newly-eligible gig-economy workers, self-employed https://t.co/FZZRxqmYl4",0,0
Market Wrap Video + Additions to Watch ist  including: AGO AS CHK CVA GA NFX GP - by My Valentine,0,0
"user: Bulls are trying to keep this market in the green, but you can tell its a struggle. Nasdaq now up just 8 pts. AAP fading",1,0
SHD added to short position on uptick!   ,1,1
AMZN ooks like the stock has topped out for now. Today is another distribution day.  ,1,1
â€˜The Moochâ€™ is facing one of his biggest tests as SkyBridge struggles with the poor performance of its hedge-fund mâ€¦ https://t.co/FffRTBcKg7,1,0
"March GST Collection Falls To Rs 97,597 Crore Amid Coronavirus Outbreak
https://t.co/Ml07LgjgGu",1,1
