Text,Target,Predicted,Parsed
GOOG IGV #Google #Software firing on all 3 cylinders compq NDX  ,1,1,"[('GOOG IGV #Google #Software', 'ORG'), ('3', 'CARDINAL'), ('NDX', 'ORG')]"
user That IFE is going to turn like that TPX just did - if TPX continues red - similar pattern,-1,1,"[('IFE', 'ORG'), ('TPX', 'ORG'), ('TPX', 'ORG')]"
JCP good short under 16.75.,-1,-1,"[('JCP', 'ORG'), ('16.75', 'CARDINAL')]"
PO is perking up again. Very strong specialty chemicals' stock,1,1,[]
ZNGA Put/CAll ratio 0.18,1,1,"[('CAll', 'PRODUCT'), ('0.18', 'CARDINAL')]"
AXTI eleased news. Watching if this can go into 3s today  ,1,1,"[('AXTI', 'PERSON'), ('3s', 'CARDINAL'), ('today', 'DATE')]"
Heard on the Street: Social distancing has been good for Samsung so far. But its prospects depend on the global ecoâ€¦ https://t.co/yfEXvfksXR,1,1,"[('Samsung', 'ORG'), ('ecoâ€¦ https://t.co/yfEXvfksXR', 'PRODUCT')]"
"Coronavirus Has 'Drastically Altered' India Growth Outlook, Says RBI Amid Lockdown
https://t.co/WYWkoIzUKf",-1,-1,"[('RBI', 'PERSON')]"
CHE (home healthcare svs) at new all-time highs on heave volume  ,1,1,[]
KEX the break of the 8.49 secondary price was your obvious signal...,-1,-1,"[('KEX', 'ORG'), ('8.49', 'CARDINAL')]"
CSOD  Expands Presence in Public Sector to Drive Continued Momentum  ,1,1,[]
ATHN wants the hundred-dolla-roll.,1,1,"[('ATHN', 'PERSON'), ('hundred-dolla', 'MONEY')]"
SCHW -core long holding up well - possible falling wedge?  not sure but adding some back 17.65 area  ,1,1,"[('SCHW', 'ORG'), ('17.65', 'CARDINAL')]"
"AAP - Bearish News at the Bottom, Or The Start of a New Downleg?  ",-1,1,"[('AAP - Bearish News', 'ORG'), ('Bottom', 'LOC')]"
MSFT gap close. Continues base. SI rising. Nice : pickup w/ stop below major support & 28.22 PT.  ,1,1,"[('28.22', 'CARDINAL')]"
Short HT under the 200 SMA stop just over the high of the day. First target 53.95. Second target 53.21 gap fill.,-1,-1,"[('200', 'CARDINAL'), ('the high of the day', 'DATE'), ('First', 'ORDINAL'), ('53.95', 'CARDINAL'), ('Second', 'ORDINAL'), ('53.21', 'CARDINAL')]"
AAP lets see if we say goodbye to 500 today.,-1,-1,"[('AAP', 'ORG'), ('500', 'CARDINAL'), ('today', 'DATE')]"
"Government May Slash Borrowing From Market In April Amid Lockdown: Report
https://t.co/3nN6Jqelh8",-1,-1,"[('May Slash Borrowing From Market', 'PERSON'), ('April', 'DATE')]"
"Short list monday, AZK CENX  DAKT EMK  IO MVG QTY SNSS STK TAS VOCS",-1,1,"[('monday', 'DATE'), ('AZK CENX  ', 'PERSON'), ('DAKT EMK', 'PERSON')]"
CTIC looking to scale back into a long Monday hoping for sub 1.30 stock,1,1,"[('CTIC', 'ORG'), ('a long Monday', 'DATE'), ('1.30', 'CARDINAL')]"
"MTG Major resistance at 2.80 which is Fib level and 20 day MA. if you are long, good luck.  ",-1,-1,"[('MTG', 'ORG'), ('2.80', 'CARDINAL'), ('Fib', 'FAC'), ('20 day', 'DATE')]"
"user benrab no position ever, no payment ever, just trying to explain the fraud that is likely zagg. Deny it at you're own risk.",-1,-1,"[('zagg', 'PERSON')]"
"Sensex, Nifty Trim Losses As Markets Resume Trading After 45-Minute Halt
https://t.co/R98oX7Bd5U",-1,-1,
"SK Great day today. Breakout on huge volume. ots of shorts, congrats to members who joined in!  ",1,1,"[('today', 'DATE'), ('ots', 'ORG'), ('congrats', 'PERSON')]"
DE outside bbands - I have to believe this pulls in a bit.   ,-1,-1,"[('DE', 'ORG')]"
CF if we open green here tomorrow we should see test to 40 looking to be setting up again.,1,1,"[('tomorrow', 'DATE'), ('40', 'CARDINAL')]"
"Indian Stocks Crash To Worst Day Since 2008 As Pandemic Fuels Growth Fears
https://t.co/IUUaVqggRI",-1,-1,
RT @AndrewScurria: 1st large oil-and-gas bankruptcy stemming from coronavirus/Saudi-Russia price war. Whiting Petroleum files for chapter 1â€¦,-1,1,"[('RT @AndrewScurria', 'ORG'), ('1st', 'ORDINAL'), ('Saudi', 'NORP'), ('chapter 1â€', 'LAW')]"
DDD IDCC continue higher,1,1,"[('DDD IDCC', 'ORG')]"
"HTZ great move to new highs out of that triangle, very strong  ",1,1,"[('HTZ', 'PERSON')]"
TSO Keep this small Cup with Handle on your watch list. Breakout watch over 60 on volume.  ,1,1,"[('TSO', 'ORG'), ('Cup with Handle', 'WORK_OF_ART'), ('60', 'CARDINAL')]"
Come on MTG do the Harlem Shake.,-1,-1,"[('MTG', 'ORG')]"
"JPM 4 of last 8 days saw distribution, may yet test 50dma, but little damage done longer-term  ",1,-1,"[('JPM', 'ORG'), ('50dma', 'ORG')]"
RT @estherfung: Some Landlords Say Only 25% of Retail Tenants Paid April Rent https://t.co/1JuE0xG1AH via @WSJ,1,1,"[('RT @estherfung:', 'ORG'), ('Only 25%', 'PERCENT'), ('Retail Tenants Paid', 'ORG')]"
The gap fill at 53.47 for DDD is certain. This is where ride the profits thesis gets tested.,-1,1,"[('53.47', 'CARDINAL'), ('DDD', 'ORG')]"
user - never buy on day 3 of more than 10% move. Good advice for the conservative.  XCO,1,1,"[('day 3', 'DATE'), ('10%', 'PERCENT'), ('XCO', 'ORG')]"
#ContrAlert Don't Panic: Wall Street Is Going Crazy For Student oans -- But It's Not a #Bubble -  SM,-1,-1,"[('SM', 'ORG')]"
user: FIO fugly,-1,1,"[('FIO', 'ORG')]"
AMTD TD Ameritrade two massive blocks of upside calls over past week.  ,1,1,"[('AMTD TD Ameritrade', 'ORG'), ('two', 'CARDINAL'), ('past week', 'DATE')]"
Some #insurance stocks at all time highs! AON AS TV WB Weeeeee SPX SPY  ,1,1,"[('AON AS TV', 'ORG'), ('WB', 'ORG')]"
Market Wrap Video + Additions to Watch ist  including: BCEI BJI CEE ES SONS SQNM NX YEP,1,1,"[('BCEI BJI CEE ES', 'ORG')]"
"As the coronavirus pandemic intensifies, adherents of the Financial Independence, Retire Early movement are doublinâ€¦ https://t.co/klzYRO889R",-1,-1,"[('the Financial Independence', 'LOC')]"
Exclusive: A top Occidental Petroleum executive has been forced out of the company as it deals with the repercussioâ€¦ https://t.co/1YFkN3FoQg,-1,-1,"[('Occidental Petroleum', 'ORG')]"
"etail drill-down raises questions - XY, XT, TH  -  SPX, SPY, M, GPS",-1,-1,"[('XY', 'ORG'), ('XT', 'ORG'), ('TH', 'ORG'), ('SPX', 'ORG')]"
Watchlist for today TTNP SNTA IMM FM OEX DCTH,1,1,"[('today', 'DATE'), ('TTNP', 'ORG')]"
AAP Cover my Short B4 Conference !,-1,-1,"[('AAP', 'ORG'), ('Cover', 'PRODUCT')]"
AYI Q1 Operational Cash Flow turns Negative,-1,1,[]
DK Over 34.75 for a continuation  ,1,1,"[('DK', 'ORG'), ('34.75', 'CARDINAL')]"
VNG - taking an overnight position for few days 3.30 - looks prime - someone accumulating some here - for something,1,1,"[('overnight', 'TIME'), ('few days', 'DATE')]"
AAP a classic move to 435 testing on no cause. Webinar followers I've added to short position  ,-1,-1,"[('AAP', 'ORG'), ('435', 'CARDINAL')]"
GAE something going on long 1.84 -1.85 1.86,1,1,"[('GAE', 'ORG'), ('1.84', 'CARDINAL'), ('-1.85', 'GPE'), ('1.86', 'CARDINAL')]"
MAKO Nice Cup and Handle pattern...Stock worth 20 IMO...  ,1,1,"[('MAKO Nice Cup', 'ORG'), ('20', 'CARDINAL')]"
AAP No kidding Terranova!,-1,1,"[('AAP', 'ORG'), ('Terranova', 'ORG')]"
AAP Dump by  Einhorn in progress 40% Done Be patient....,-1,-1,"[('Einhorn', 'PERSON'), ('40%', 'PERCENT')]"
"PPO: 2) GM estimates 20% Y/Y unit growth for volt (36K). great headline, but PPO built capacity for 60K+. this is bad for margins. (2/4)",-1,-1,"[('PPO', 'ORG'), ('2', 'CARDINAL'), ('GM', 'ORG'), ('20%', 'PERCENT'), ('36K', 'MONEY'), ('PPO', 'ORG'), ('60K+', 'CARDINAL'), ('2/4', 'CARDINAL')]"
AMZN clearing this rising trend line / support off 5 minute looking to add to short position   ,-1,-1,"[('AMZN', 'ORG'), ('5 minute', 'TIME')]"
Pre-Market Winners: SI FAS DB TOT HTZ ASM EX TNA E NKD,1,1,"[('SI FAS DB TOT HTZ', 'ORG')]"
"Sensex, Nifty Extend Losses To Second Straight Day
https://t.co/fvhJCJDiV5",-1,-1,[]
CF  #cliff the Head & Shoulder still thinks it's right!  ,-1,-1,"[('CF  #cliff', 'ORG')]"
CNQ nice start but needs better vol,1,1,"[('CNQ', 'ORG')]"
"Fitch Sees India GDP Growth In FY21 At 2%, Slowest Since Economic Reforms
https://t.co/nH9RGCKb8s",-1,-1,"[('Fitch Sees', 'ORG'), ('India', 'GPE'), ('2%', 'PERCENT')]"
ZNGA entire body is about 200 day moving average today for the first time!!!!!!!!!!!!,1,-1,"[('ZNGA', 'PERSON'), ('200 day', 'DATE'), ('today', 'DATE'), ('first', 'ORDINAL')]"
ACHC I might be crazy but this stock is rising. ow volume however.Price matters first.,1,1,"[('first', 'ORDINAL')]"
"JDS beautiful trend, 13.5 should bring out the dip buyers",1,1,"[('JDS', 'PERSON'), ('13.5', 'CARDINAL')]"
AFFY 30 minute shift - Still long partials from yesterday 2.90 level,1,1,"[('30 minute', 'TIME'), ('yesterday', 'DATE'), ('2.90', 'CARDINAL')]"
SHD - Appearance of a 180 Bullish Cup and Handle. Someone has put on a SPD.  ,1,1,"[('SHD', 'NORP'), ('180', 'CARDINAL'), ('Bullish Cup and Handle', 'EVENT'), ('SPD', 'ORG')]"
" ES SPY, S Part three final update..hedge and define risk ...  ",-1,-1,"[('ES SPY', 'ORG'), ('three', 'CARDINAL')]"
BSX Weekly: 10 & 200 meeting  ,1,1,"[('BSX', 'ORG'), ('Weekly', 'DATE'), ('10', 'CARDINAL'), ('200', 'CARDINAL')]"
AAP moving above 525 pivot today is bullish for tomorrow.,1,1,"[('AAP', 'ORG'), ('525', 'CARDINAL'), ('today', 'DATE'), ('tomorrow', 'DATE')]"
TAB user alexcampbello This is what the street sees and hence lower she goes  ,-1,-1,"[('TAB', 'ORG')]"
Trouble for homebuilders in recent data...  XHB TO PHM DHI,-1,-1,"[('XHB', 'ORG'), ('PHM DHI', 'ORG')]"
Market Wrap Video + Additions to Watch ist  including: AEG DI IPX NG MY ONTY QIH ST XXIA,1,1,"[('AEG DI IPX NG', 'ORG'), ('XXIA', 'PERSON')]"
AAP Daylight savings has screwed up the European close.. still 1/2 hour to go,1,1,"[('AAP', 'ORG'), ('European', 'NORP'), ('1/2 hour', 'TIME')]"
"Don't look now, but INT is clearing all-time highs. 10th time is the charm",1,1,"[('INT', 'PERSON'), ('10th', 'ORDINAL')]"
GOOG setting up for another push higher. Still within a larger 3rd wave...with (v) of 3 to come...  ,1,1,"[('3rd', 'ORDINAL'), ('3', 'CARDINAL')]"
TSO - I see this one mentioned on the Matrix a lot today. I see why. Nice flag and 20 ema bounce  ,1,1,"[('TSO', 'ORG'), ('today', 'DATE'), ('20', 'CARDINAL'), ('ema', 'ORG')]"
AAP --  mac world maybe TC will anounce the i-time-machine... boom we are all rich again!,1,1,"[('AAP', 'ORG'), ('TC', 'ORG')]"
is this a potential h&s on  with neckline 65ish?  ,-1,-1,"[('h&s', 'PERSON'), ('65ish', 'CARDINAL')]"
BBY Headed back to 5 on over saturated Cell Phone Market - That GOOG will own as next mobile Microsoft OS.,-1,1,"[('BBY', 'ORG'), ('5', 'CARDINAL'), ('GOOG', 'ORG'), ('Microsoft', 'ORG')]"
Market Wrap Video + Additions to Watch ist  including: BYD INFN JNP SE TGH HS,1,1,"[('BYD INFN JNP SE', 'ORG'), ('TGH HS', 'ORG')]"
CEN is setting up near 52-week highs  ,1,1,"[('CEN', 'ORG'), ('52-week', 'DATE')]"
"NVDA ooks bullish but it must stay above 13.05 on a closing basis (monthly), EPS say no?  ",-1,1,"[('NVDA', 'ORG'), ('ooks', 'PERSON'), ('13.05', 'CARDINAL'), ('monthly', 'DATE'), ('EPS', 'ORG')]"
BTO AMZN Feb 16 210 puts for 1. olling the dice!,-1,-1,"[('BTO AMZN Feb 16 210', 'ORG'), ('1', 'CARDINAL')]"
"Citing improved money-market conditions, the bank said it would soon ease back on operations designed to add short-â€¦ https://t.co/GACHU03nOM",1,1,[]
"Green Monthly Triangle on ISIS,....Scaling Down  ",-1,-1,"[('Green Monthly Triangle', 'ORG')]"
"India's Services Activity Hits 5-Month Low Amid Coronavirus Crisis: Survey
https://t.co/Urv0Rj5eyv",-1,-1,"[('India', 'GPE'), ('5-Month', 'DATE')]"
AAP Apple's stock is 36% lower than its September high.  ,-1,-1,"[(""AAP Apple's"", 'ORG'), ('36%', 'PERCENT'), ('September', 'DATE')]"
INT #1 on SMB adar weak today,-1,-1,"[('1', 'MONEY'), ('SMB', 'ORG'), ('today', 'DATE')]"
"Heard on the Street: Norwegian Air could succeed in its last-ditch effort to survive the coronavirus crisis, but wiâ€¦ https://t.co/mURLpUzK46",1,1,"[('Norwegian Air', 'ORG')]"
AAP ow risk with a tight stop here however would like to see this one get some follow through (today) to better confirm.,1,1,"[('today', 'DATE')]"
SSQ pulling back as suspected. uckily sold near 11.20 res (tweeted). Watching 10.80 to get bck in  ,1,1,"[('SSQ', 'ORG'), ('11.20', 'CARDINAL'), ('10.80', 'CARDINAL')]"
"me too.  yay user: So AAP didn't gap up this morning toward ST upside target (480), but I will take a sudden reversal.",1,1,"[('AAP', 'ORG'), ('this morning', 'TIME'), ('ST', 'LOC'), ('480', 'CARDINAL')]"
"DEPO sell short 6.43 scaling, next level 6.27",-1,-1,"[('DEPO', 'PRODUCT'), ('6.43', 'CARDINAL'), ('6.27', 'CARDINAL')]"
Added bear call spread in STJ at Apr20 43/45 level for potential 12% gain.,-1,-1,"[('STJ', 'ORG'), ('43/45', 'CARDINAL'), ('12%', 'PERCENT')]"
AMZN short working nicely  watch for a break and run of 262,-1,1,"[('AMZN', 'ORG'), ('262', 'CARDINAL')]"
China Shanghai Composite Breaks Key Supprt FXI BID NTES SINA SOH YOK YZC XME JOY CAT X  ,1,1,"[('China', 'GPE'), ('SOH YOK', 'PERSON'), ('XME', 'ORG'), ('CAT X', 'PRODUCT')]"
"Will Not Sell Any Share In Yes Bank For Next 3 Years, Says SBI Chairman
https://t.co/X9JRhxWCrV",1,-1,
FS is in a big rising channel w its top at 39 & bottom at 28.Momentum indicators turning up again  ,1,1,"[('FS', 'ORG'), ('39', 'CARDINAL'), ('28.Momentum', 'CARDINAL')]"
COG rolling over here...  think it will lose most of this move today.,-1,-1,"[('today', 'DATE')]"
Could this false breakout on BAC take us down to 11 ?   ,-1,-1,"[('11', 'CARDINAL')]"
"BIG With a strong SI & an improving OBV, I have a feeling that it will break higher shortly.   ",1,1,"[('SI &', 'ORG'), ('OBV', 'FAC')]"
ACX No negatives here.  Just an algo bringing it down.  Here's a chance to get stock cheap. BBH XV,1,1,"[('ACX', 'ORG'), ('BBH XV', 'ORG')]"
HBAN breakout today  ,1,1,"[('today', 'DATE')]"
user: TJX TJX. Fresh All Time High & plenty of support nearby.  ,1,1,[]
A European fund imposes a levy on shareholders trying to exit the fund https://t.co/ipARaR7IO2,-1,1,"[('European', 'NORP'), ('https://t.co/ipARaR7IO2', 'ORG')]"
BAC Here is the entry for the long IMO ot of Volume + over 11.65 !!!,1,1,"[('BAC Here', 'ORG'), ('11.65', 'CARDINAL')]"
AAP GS says higher div likely .. more value investors? Why no stock split instead?  ,1,-1,"[('AAP GS', 'ORG')]"
"RBI Surpassed Market Expectations: Experts On Surprise 0.75% Rate Cut
https://t.co/3gfU6trdg1",-1,1,"[('RBI', 'ORG'), ('0.75%', 'PERCENT')]"
